"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","age","sex","date","deadline","instQ1","instQ2","instQ3","instQ4","instQ5","totalInstQ","gender","strategy","comments","DASS1_s","DASS2_a","DASS3_d","DASS4_a","DASS5_d","DASS6_s","DASS7_a","DASS8_s","DASS9_a","DASS10_d","DASS11_s","DASS12_s","DASS13_d","DASS14_s","DASS15_a","DASS16_d","DASS17_d","DASS18_s","DASS19_a","DASS20_a","DASS21_d","BB1","BB2","BB3","BB4","BB5","BB6","BB7","BB8","BB9","BB10","BB11","BB12","BB13","BB14","BB15","BB16","BB17","BB18","BB19","BB20","BB21","BB22","BB23","BB24","NFC1","NFC2","NFC3","NFC4","NFC5","NFC6","NFC7","NFC8","NFC9","NFC10","NFC11","NFC12","NFC13","NFC14","NFC15","NFC16","NFC17","NFC18","rt","stimulus","key_press","npress","isDataTrial","block","trialinblock","common","odd","oddidx","correct_ans","accuracy","totalTokens","timestamp","responses","question_order","showprog","blocklen","trial","progress","reward","timedout"
"true","fullscreen",0,3770,"0.0-0.0",55,20,"f",1664215187303,750,"q","q","Only if I get the answer right","You win money","A fixed time limit",5,FALSE,"I took a few seconds break between every run (drinking water, taking a few steps around the room, breathing in and out) because when I didn't, all the shapes started blending together.","none",1,0,1,3,1,3,0,3,0,0,1,2,0,0,1,0,0,0,3,0,0,1,3,1,0,0,0,0,0,1,0,3,0,1,0,1,0,0,0,0,1,1,1,0,1,3,2,2,1,0,3,0,1,3,3,2,0,1,3,2,1,0,4,"","","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response",1,124591,"0.0-1.0-0.0",55,20,"f",1664215187303,750,"q","q","Only if I get the answer right","You win money","A fixed time limit",5,FALSE,"I took a few seconds break between every run (drinking water, taking a few steps around the room, breathing in and out) because when I didn't, all the shapes started blending together.","none",1,0,1,3,1,3,0,3,0,0,1,2,0,0,1,0,0,0,3,0,0,1,3,1,0,0,0,0,0,1,0,3,0,1,0,1,0,0,0,0,1,1,1,0,1,3,2,2,1,0,3,0,1,3,3,2,0,1,3,2,1,0,4,"120819.79999995232","static/images/instructions/Slide1.png","39","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response",2,130302,"0.0-1.1-0.1",55,20,"f",1664215187303,750,"q","q","Only if I get the answer right","You win money","A fixed time limit",5,FALSE,"I took a few seconds break between every run (drinking water, taking a few steps around the room, breathing in and out) because when I didn't, all the shapes started blending together.","none",1,0,1,3,1,3,0,3,0,0,1,2,0,0,1,0,0,0,3,0,0,1,3,1,0,0,0,0,0,1,0,3,0,1,0,1,0,0,0,0,1,1,1,0,1,3,2,2,1,0,3,0,1,3,3,2,0,1,3,2,1,0,4,"5710.199999988079","static/images/instructions/Slide2.png","39","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response",3,136870,"0.0-1.2-0.2",55,20,"f",1664215187303,750,"q","q","Only if I get the answer right","You win money","A fixed time limit",5,FALSE,"I took a few seconds break between every run (drinking water, taking a few steps around the room, breathing in and out) because when I didn't, all the shapes started blending together.","none",1,0,1,3,1,3,0,3,0,0,1,2,0,0,1,0,0,0,3,0,0,1,3,1,0,0,0,0,0,1,0,3,0,1,0,1,0,0,0,0,1,1,1,0,1,3,2,2,1,0,3,0,1,3,3,2,0,1,3,2,1,0,4,"6567.100000023842","static/images/instructions/Slide3.png","39","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response",4,141358,"0.0-1.3-0.3",55,20,"f",1664215187303,750,"q","q","Only if I get the answer right","You win money","A fixed time limit",5,FALSE,"I took a few seconds break between every run (drinking water, taking a few steps around the room, breathing in and out) because when I didn't, all the shapes started blending together.","none",1,0,1,3,1,3,0,3,0,0,1,2,0,0,1,0,0,0,3,0,0,1,3,1,0,0,0,0,0,1,0,3,0,1,0,1,0,0,0,0,1,1,1,0,1,3,2,2,1,0,3,0,1,3,3,2,0,1,3,2,1,0,4,"4487.300000011921","static/images/instructions/Slide4.png","39","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response",5,145798,"0.0-1.4-0.4",55,20,"f",1664215187303,750,"q","q","Only if I get the answer right","You win money","A fixed time limit",5,FALSE,"I took a few seconds break between every run (drinking water, taking a few steps around the room, breathing in and out) because when I didn't, all the shapes started blending together.","none",1,0,1,3,1,3,0,3,0,0,1,2,0,0,1,0,0,0,3,0,0,1,3,1,0,0,0,0,0,1,0,3,0,1,0,1,0,0,0,0,1,1,1,0,1,3,2,2,1,0,3,0,1,3,3,2,0,1,3,2,1,0,4,"4439.299999952316","static/images/instructions/Slide5.png","39","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response",6,149614,"0.0-1.5-0.5",55,20,"f",1664215187303,750,"q","q","Only if I get the answer right","You win money","A fixed time limit",5,FALSE,"I took a few seconds break between every run (drinking water, taking a few steps around the room, breathing in and out) because when I didn't, all the shapes started blending together.","none",1,0,1,3,1,3,0,3,0,0,1,2,0,0,1,0,0,0,3,0,0,1,3,1,0,0,0,0,0,1,0,3,0,1,0,1,0,0,0,0,1,1,1,0,1,3,2,2,1,0,3,0,1,3,3,2,0,1,3,2,1,0,4,"3815.399999976158","static/images/instructions/Slide6.png","39","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response",7,182534,"0.0-1.6-0.6",55,20,"f",1664215187303,750,"q","q","Only if I get the answer right","You win money","A fixed time limit",5,FALSE,"I took a few seconds break between every run (drinking water, taking a few steps around the room, breathing in and out) because when I didn't, all the shapes started blending together.","none",1,0,1,3,1,3,0,3,0,0,1,2,0,0,1,0,0,0,3,0,0,1,3,1,0,0,0,0,0,1,0,3,0,1,0,1,0,0,0,0,1,1,1,0,1,3,2,2,1,0,3,0,1,3,3,2,0,1,3,2,1,0,4,"32919.60000002384","static/images/instructions/Slide7.png","39","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response",8,183606,"0.0-2.0-0.0",55,20,"f",1664215187303,750,"q","q","Only if I get the answer right","You win money","A fixed time limit",5,FALSE,"I took a few seconds break between every run (drinking water, taking a few steps around the room, breathing in and out) because when I didn't, all the shapes started blending together.","none",1,0,1,3,1,3,0,3,0,0,1,2,0,0,1,0,0,0,3,0,0,1,3,1,0,0,0,0,0,1,0,3,0,1,0,1,0,0,0,0,1,1,1,0,1,3,2,2,1,0,3,0,1,3,3,2,0,1,3,2,1,0,4,"1057.1000000238419","<br><br><br><br><table><tr><td><img src=static/images/oddball_up.png></td><td><img src=static/images/oddball_down.png></td><td><img src=static/images/oddball_up.png></td></tr></table>","87","1","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response",9,186121,"0.0-2.0-1.0",55,20,"f",1664215187303,750,"q","q","Only if I get the answer right","You win money","A fixed time limit",5,FALSE,"I took a few seconds break between every run (drinking water, taking a few steps around the room, breathing in and out) because when I didn't, all the shapes started blending together.","none",1,0,1,3,1,3,0,3,0,0,1,2,0,0,1,0,0,0,3,0,0,1,3,1,0,0,0,0,0,1,0,3,0,1,0,1,0,0,0,0,1,1,1,0,1,3,2,2,1,0,3,0,1,3,3,2,0,1,3,2,1,0,4,"null","<div style=""font-size:75px;""><b>Correct</b></div>","null","","","","","","","","","","","","","","","","","","",""
