"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","age","sex","date","deadline","instQ1","instQ2","instQ3","instQ4","instQ5","totalInstQ","gender","strategy","comments","DASS1_s","DASS2_a","DASS3_d","DASS4_a","DASS5_d","DASS6_s","DASS7_a","DASS8_s","DASS9_a","DASS10_d","DASS11_s","DASS12_s","DASS13_d","DASS14_s","DASS15_a","DASS16_d","DASS17_d","DASS18_s","DASS19_a","DASS20_a","DASS21_d","BB1","BB2","BB3","BB4","BB5","BB6","BB7","BB8","BB9","BB10","BB11","BB12","BB13","BB14","BB15","BB16","BB17","BB18","BB19","BB20","BB21","BB22","BB23","BB24","NFC1","NFC2","NFC3","NFC4","NFC5","NFC6","NFC7","NFC8","NFC9","NFC10","NFC11","NFC12","NFC13","NFC14","NFC15","NFC16","NFC17","NFC18","rt","stimulus","key_press","npress","isDataTrial","block","trialinblock","common","odd","oddidx","correct_ans","accuracy","totalTokens","timestamp","responses","question_order","showprog","blocklen","trial","progress","reward","timedout"
"true","fullscreen",0,3697,"0.0-0.0",72,21,"f",1665676449354,750,"q","q","Only if I get the answer right","Nothing","A fixed time limit",4,"female","try to focus on the 3 circles at the same time and quicky scan to detect the normal VS odd pattern","change the color of the circles because my eyes got tired when seeing the same blue background ",1,1,2,2,1,2,0,3,2,1,3,1,1,2,0,0,0,1,0,0,0,1,3,1,0,0,2,0,2,1,2,2,0,1,0,1,1,0,0,1,2,1,1,1,0,1,1,1,3,1,3,3,3,3,1,1,1,0,4,0,1,1,4,"","","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response",1,354985,"0.0-1.0-0.0",72,21,"f",1665676449354,750,"q","q","Only if I get the answer right","Nothing","A fixed time limit",4,"female","try to focus on the 3 circles at the same time and quicky scan to detect the normal VS odd pattern","change the color of the circles because my eyes got tired when seeing the same blue background ",1,1,2,2,1,2,0,3,2,1,3,1,1,2,0,0,0,1,0,0,0,1,3,1,0,0,2,0,2,1,2,2,0,1,0,1,1,0,0,1,2,1,1,1,0,1,1,1,3,1,3,3,3,3,1,1,1,0,4,0,1,1,4,"351285.799999997","static/images/instructions/Slide1.png","39","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response",2,362692,"0.0-1.1-0.1",72,21,"f",1665676449354,750,"q","q","Only if I get the answer right","Nothing","A fixed time limit",4,"female","try to focus on the 3 circles at the same time and quicky scan to detect the normal VS odd pattern","change the color of the circles because my eyes got tired when seeing the same blue background ",1,1,2,2,1,2,0,3,2,1,3,1,1,2,0,0,0,1,0,0,0,1,3,1,0,0,2,0,2,1,2,2,0,1,0,1,1,0,0,1,2,1,1,1,0,1,1,1,3,1,3,3,3,3,1,1,1,0,4,0,1,1,4,"7706","static/images/instructions/Slide2.png","39","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response",3,370220,"0.0-1.2-0.2",72,21,"f",1665676449354,750,"q","q","Only if I get the answer right","Nothing","A fixed time limit",4,"female","try to focus on the 3 circles at the same time and quicky scan to detect the normal VS odd pattern","change the color of the circles because my eyes got tired when seeing the same blue background ",1,1,2,2,1,2,0,3,2,1,3,1,1,2,0,0,0,1,0,0,0,1,3,1,0,0,2,0,2,1,2,2,0,1,0,1,1,0,0,1,2,1,1,1,0,1,1,1,3,1,3,3,3,3,1,1,1,0,4,0,1,1,4,"7527.30000000447","static/images/instructions/Slide3.png","39","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response",4,373460,"0.0-1.3-0.3",72,21,"f",1665676449354,750,"q","q","Only if I get the answer right","Nothing","A fixed time limit",4,"female","try to focus on the 3 circles at the same time and quicky scan to detect the normal VS odd pattern","change the color of the circles because my eyes got tired when seeing the same blue background ",1,1,2,2,1,2,0,3,2,1,3,1,1,2,0,0,0,1,0,0,0,1,3,1,0,0,2,0,2,1,2,2,0,1,0,1,1,0,0,1,2,1,1,1,0,1,1,1,3,1,3,3,3,3,1,1,1,0,4,0,1,1,4,"3239.10000000149","static/images/instructions/Slide4.png","39","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response",5,376796,"0.0-1.4-0.4",72,21,"f",1665676449354,750,"q","q","Only if I get the answer right","Nothing","A fixed time limit",4,"female","try to focus on the 3 circles at the same time and quicky scan to detect the normal VS odd pattern","change the color of the circles because my eyes got tired when seeing the same blue background ",1,1,2,2,1,2,0,3,2,1,3,1,1,2,0,0,0,1,0,0,0,1,3,1,0,0,2,0,2,1,2,2,0,1,0,1,1,0,0,1,2,1,1,1,0,1,1,1,3,1,3,3,3,3,1,1,1,0,4,0,1,1,4,"3335.3000000044703","static/images/instructions/Slide5.png","39","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response",6,378908,"0.0-1.5-0.5",72,21,"f",1665676449354,750,"q","q","Only if I get the answer right","Nothing","A fixed time limit",4,"female","try to focus on the 3 circles at the same time and quicky scan to detect the normal VS odd pattern","change the color of the circles because my eyes got tired when seeing the same blue background ",1,1,2,2,1,2,0,3,2,1,3,1,1,2,0,0,0,1,0,0,0,1,3,1,0,0,2,0,2,1,2,2,0,1,0,1,1,0,0,1,2,1,1,1,0,1,1,1,3,1,3,3,3,3,1,1,1,0,4,0,1,1,4,"2111.1999999955297","static/images/instructions/Slide6.png","39","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response",7,423800,"0.0-1.6-0.6",72,21,"f",1665676449354,750,"q","q","Only if I get the answer right","Nothing","A fixed time limit",4,"female","try to focus on the 3 circles at the same time and quicky scan to detect the normal VS odd pattern","change the color of the circles because my eyes got tired when seeing the same blue background ",1,1,2,2,1,2,0,3,2,1,3,1,1,2,0,0,0,1,0,0,0,1,3,1,0,0,2,0,2,1,2,2,0,1,0,1,1,0,0,1,2,1,1,1,0,1,1,1,3,1,3,3,3,3,1,1,1,0,4,0,1,1,4,"44895.39999999851","static/images/instructions/Slide7.png","39","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response",8,425272,"0.0-2.0-0.0",72,21,"f",1665676449354,750,"q","q","Only if I get the answer right","Nothing","A fixed time limit",4,"female","try to focus on the 3 circles at the same time and quicky scan to detect the normal VS odd pattern","change the color of the circles because my eyes got tired when seeing the same blue background ",1,1,2,2,1,2,0,3,2,1,3,1,1,2,0,0,0,1,0,0,0,1,3,1,0,0,2,0,2,1,2,2,0,1,0,1,1,0,0,1,2,1,1,1,0,1,1,1,3,1,3,3,3,3,1,1,1,0,4,0,1,1,4,"1470.8000000044703","<br><br><br><br><table><tr><td><img src=static/images/oddball_down.png></td><td><img src=static/images/oddball_up.png></td><td><img src=static/images/oddball_down.png></td></tr></table>","87","1","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response",9,427780,"0.0-2.0-1.0",72,21,"f",1665676449354,750,"q","q","Only if I get the answer right","Nothing","A fixed time limit",4,"female","try to focus on the 3 circles at the same time and quicky scan to detect the normal VS odd pattern","change the color of the circles because my eyes got tired when seeing the same blue background ",1,1,2,2,1,2,0,3,2,1,3,1,1,2,0,0,0,1,0,0,0,1,3,1,0,0,2,0,2,1,2,2,0,1,0,1,1,0,0,1,2,1,1,1,0,1,1,1,3,1,3,3,3,3,1,1,1,0,4,0,1,1,4,"null","<div style=""font-size:75px;""><b>Correct</b></div>","null","","","","","","","","","","","","","","","","","","",""
